date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:10:45	18730/18730	---M-Z	200	added ('OK')	text/html	etag:%22ea348ed54dded178a079b4cc5a58b3d7%22	https://live.hasthemes.com/html/8/jibanu-preview/jibanu/index.html	C:/My%20Web%20Sites/accde/live.hasthemes.com/html/8/jibanu-preview/jibanu/index.html	(from )
21:10:46	256/256	---MCZ	404	error ('Not%20Found')	application/xml	date:Wed,%2014%20Apr%202021%2015:10:47%20GMT	https://live.hasthemes.com/robots.txt		(from )
21:10:46	1150/1150	---M--	200	added ('OK')	application/octet-stream	etag:%2246dcde53c127b8192d21a0d93d55e98c%22	https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/img/favicon.ico	C:/My%20Web%20Sites/accde/live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/img/favicon.ico	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/index.html)
21:10:47	613/613	---M-Z	200	added ('OK')	text/css	etag:%22126a06688aa11c13a58772a516cf6d72%22	https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/css/jqvmap.min.css	C:/My%20Web%20Sites/accde/live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/css/jqvmap.min.css	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/index.html)
21:10:47	521/521	---M-Z	200	added ('OK')	text/css	etag:%227d8693e997109f2aeac04066301679d6%22	https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/css/chart.min.css	C:/My%20Web%20Sites/accde/live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/css/chart.min.css	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/index.html)
21:10:47	14301/14301	---M-Z	200	added ('OK')	text/css	etag:%2242009de832e85b205dca592212e01574%22	https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/css/datatables.min.css	C:/My%20Web%20Sites/accde/live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/css/datatables.min.css	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/index.html)
21:10:47	15823/15823	---M-Z	200	added ('OK')	text/css	etag:%22809b4f5299218eab37a7c31e4c20478b%22	https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/css/select2.min.css	C:/My%20Web%20Sites/accde/live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/css/select2.min.css	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/index.html)
21:10:48	160403/160403	---M-Z	200	added ('OK')	text/css	etag:%223afe15e976734d9daac26310110c4594%22	https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/accde/live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/css/bootstrap.min.css	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/index.html)
21:10:48	6107/6107	---M--	200	added ('OK')	image/png	etag:%22d2f6fdfa46c9a8b64f279e8e68c01476%22	https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/img/logo.png	C:/My%20Web%20Sites/accde/live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/img/logo.png	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/index.html)
21:10:48	37577/37577	---M-Z	200	added ('OK')	text/css	etag:%223996955915c7e47b748a16ed6b933996%22	https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/css/style.css	C:/My%20Web%20Sites/accde/live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/css/style.css	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/index.html)
21:10:48	5839/5839	---MCZ	200	added ('OK')	text/html	etag:%22887a0b0e03eb6f4d1514ca11b9647111%22	https://live.hasthemes.com/html/8/jibanu-preview/jibanu/map.html	C:/My%20Web%20Sites/accde/live.hasthemes.com/html/8/jibanu-preview/jibanu/map.html	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/index.html)
